Location,Photographer,Style,StartingPrice,Contact,Webpage,Review
"Asheville, NC",Dawn E. Roscoe Photography,Photojournalistic,"$3,200 ",(630) 248-5809,https://dawnephoto.com/,5
"Charlotte, NC",Sheree Taylor Photography,Fine Art,NA,(704) 280-1884,https://shereetaylorphotography.com/,5
"Matthews, NC",Sharon Elisabeth Photography,Classic,"$3,000 ",(704) 363-7835,https://www.sharonelisabethphotography.com/,5
"Mooresville, NC",David Edward Photography and Videography,Classic,$750 ,(704) 230-2333,https://www.dephotovideo.com/,5
"Charlotte, NC",Yazmin Jade Collective,Photojournalistic,"$3,200 ",(206) 387-2838,https://www.yazminjadecollective.com/,5
"Charlotte, NC",Photographs by Joanna A,Photojournalistic,"$3,000 ",jo@photographsbyjoannaa.com,https://www.photographsbyjoannaa.com/,5
"Charlotte, NC",ParksPictures Photography,Classic,"$2,600 ",(980) 322-8995,https://www.parkspictures.com/,5
"Charlotte, NC",Weddings by Bluesky,Editorial,"$4,500 ",(336) 413-2034,https://weddingsbybluesky.com/,5
"Charlotte, NC",Catherine Leigh Photography,Editorial,"$3,500 ",(336) 740-5203,https://www.catherineleighphotography.com/,5
"Charlotte, NC",Elegant Moments Photography,Editorial,"$1,500 ",(704) 273-9778,https://www.elegantmomentsphotography.com/,4
"Charlotte, NC",Snook Photo + Co.,Photojournalistic,"$2,995 ",(213) 432-9417,https://www.snookphotoco.com/,4.8
"Charlotte, NC",Samantha Grace Photography,Classic,"$1,200 ",(704) 609-8912,https://samanthagracephotography.com/hello,4.5
"Charlotte, NC",Erika El Photography LLC,Photojournalistic,"$4,000 ",erikaelphotography@gmail.com,http://www.erikaelphotography.com/,4.3
"Charlotte, NC",1828 Collective,Photojournalistic,"$3,000 ",(336) 829-0196,http://www.1828collective.com/,5
"Charlotte, NC",Jonathan Bryant Photography,Photojournalistic,"$1,750 ",(980) 429-4606,http://www.jonathanbryant.photos/,5
"Charlotte, NC",Savvy Leigh Photography,Classic,"$3,300 ",(980) 202-0886,https://www.savvyleigh.com/,5
"Charlotte, NC",Rivkah | Fine Art Photography,Fine Art,"$4,000 ",(704) 778-1940,http://www.rivkahfineart.com/,5
"Charlotte, NC",Wild Society Weddings,Photojournalistic,"$2,600 ",wildsocietyweddings@gmail.com,https://www.wildsocietyweddings.com/,4
"Charlotte, NC",Anorda Photography,Photojournalistic,"$4,000 ",(704) 916-9468,https://www.anordaphotography.com/,4.5
"Charlotte, NC",Alchemist Weddings,Photojournalistic,"$3,000 ",(252) 813-6585,https://alchemistweddings.com/,4.5
"Charlotte, NC",Richard Israel Photography,Editorial,NA,(704) 890-7500,https://www.the-israel.com/,4.9
"Charlotte, NC",TAdams Designs,Classic,"$2,500 ",troyonna@tadamsdesigns.com,http://www.tadamsdesigns.com/,4.9
"Charlotte, NC",Marry Media,Classic,"$2,000 ",(864) 412-7068,https://www.marrymemedia.org/,4.2
"Charlotte, NC",Norbeck Photo,Classic,"$2,000 ",(860) 501-0490,https://norbeckphoto.com/,4
"Charlotte, NC",Caliyah Hart Photography,Photojournalistic,"$3,800 ",(704) 526-8230,http://www.caliyahhartphotography.com/,5
"Charlotte, NC",Ali Nicole Photography,Classic,"$2,600 ",(703) 853-4373,https://www.ali-nicole.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=6338534402164948647,5
"Charlotte, NC",Althea Weddings,Classic,"$4,500 ",(407) 790-0755,http://www.alyssaswedick.com/,5
"Charlotte, NC",Wonder Blue Creative,Classic,"$2,800 ",wonderbluecreative@gmail.com,https://www.wonderbluecreative.com/,5
"Charlotte, NC",Megan Pitts Photography,Fine Art,"$2,100 ",(863) 292-1015,https://meganpittsphotography.com/,4.7
"Charlotte, NC",Erica Hasenjager Photography,Photojournalistic,"$3,900 ",(315) 373-1176,http://www.ericahasenjager.com/,4.5
"Charlotte, NC",Reliquary,Fine Art,"$3,500 ",(704) 995-3365,http://www.reliquaryphoto.com/,5
"Charlotte, NC",Stephanie Bailey Photography LLC,Photojournalistic,"$2,500 ",stephaniebaileyphoto@gmail.com,https://stephaniebaileyphotography.com/,5
"Charlotte, NC",Emily Cloutier Photography,Classic,"$3,500 ",emily@emilycloutierphotography.com,https://www.emilycloutierphotography.com/,5
"Charlotte, NC",LindseyK Photography,Fine Art,"$3,000 ",LINDSEYKPHOTOGRAPHY1@GMAIL.COM,https://www.lindseykphotography.com/,5
"Charlotte, NC",Mallory Shorter Photography,Classic,"$2,000 ",Mallory@MalloryShorter.com,http://www.malloryshorter.com/,5
"Charlotte, NC",Alexander South NC,Photojournalistic,"$3,995 ",(980) 226-2785,http://www.alexanderimages.com/,5
"Charlotte, NC",The Hazel Club,Photojournalistic,"$3,100 ",(980) 202-8778,http://thehazelclub.com/,5
"Charlotte, NC",Cynthia Ndelo Photography & Cinematography,Photojournalistic,NA,(704) 369-3890,https://cynthiandelophotography.com/,5
"Charlotte, NC",Sophia Sullivan Photo,Photojournalistic,"$4,500 ",(980) 556-6964,https://www.sophiasullivanphoto.com/,5
"Charlotte, NC",Nhieu Tang Photography,Photojournalistic,"$2,800 ",(704) 904-7797,http://www.nhieutang.com/,4.5
"Charlotte, NC",The Nostalgia Collective,Photojournalistic,"$2,400 ",nostalgiacollectivephoto@gmail.com,https://www.facebook.com/nostalgia.collective.photo/,3
"Charlotte, NC",Hortiz Photography & Video LLC,Classic,"$2,500 ",(704) 800-5762,https://clt.hortizphotography.com/,3
"Charlotte, NC",Party Of Two Photography,Photojournalistic,NA,(919) 791-7064,http://www.partyoftwophoto.com/,3.5
"Charlotte, NC",All Bliss Photography,Photojournalistic,NA,(980) 236-0755,http://www.allblissphotography.com/,3.9
"Charlotte, NC",Elizabeth Sellers Photo,Photojournalistic,NA,ELIZABETH@ELIZABETHSELLERSPHOTO.COM,https://elizabethsellersphoto.com/,3.2
"Charlotte, NC",thefulnessthereof Photography,Editorial,"$2,000 ",(704) 877-8992,http://thefulnessthereof.com/,4
"Charlotte, NC",Laura Greear Photography,Classic,"$3,200 ",lauragreearphotography@gmail.com,https://lauragreearphotography.com/,4
"Charlotte, NC",Amanda Moss Photography,Classic,"$2,800 ",(704) 264-4011,http://www.amandamossphotography.com/,4
"Charlotte, NC",Jim Trice Photography,Classic,"$4,000 ",(704) 502-4567,https://www.jimtrice.com/,4
"Huntersville, NC",Magnolia Mae Studios,Classic,"$2,750 ",(704) 718-1499,https://www.magnoliamaestudios.com/,5
"Cornelius, NC",Kelsie Elizabeth Photography,Fine Art,"$6,000 ",(704) 433-7875,http://www.kelsieelizabeth.com/,5
"Huntersville, NC",Head Over Heels Wedding Photography,Classic,"$3,000 ",(704) 997-5241,http://www.headoverheelsnewbornphotography.com/,5
"Cornelius, NC",Stephanie Wiseman Photography,Photojournalistic,"$2,500 ",stephanie_wiseman@me.com,https://stephaniewisemanphotography.com/,5
"Mint Hill, NC",Reckless Revival Co.,Photojournalistic,NA,(704) 691-4389,https://www.recklessrevival.co/,5
"Raeford, NC",Elizabeth A Joy Photography,Classic,"$2,600 ",(980) 297-2562,http://www.joy-photo.com/,5
"Brazoria, TX",Kiara’s Sassy Shutters,Classic,"$1,000 ",(832) 221-9284,https://www.facebook.com/people/Kiaras-Sassy-Shutters/100070861596026/,5
"Savannah, GA",Coté and Camera,Fine Art,"$3,000 ",e.coteewers@gmail.com,https://www.facebook.com/coteandcamera/,5
"Greeneville, TN",Vimana Photography,Fine Art,"$1,800 ",(725) 867-8151,http://www.vimanaphotography.com/,5
"Gastonia, NC",In Bloom Photography,Classic,"$2,550 ",(727) 504-5509,https://www.inbloomphotographync.com/,5
"Gastonia, NC",Skylar Patchin Photography,Photojournalistic,"$1,600 ",(704) 879-1762,https://skylarpatchinphotography.zenfoliosite.com/,4
"Detroit, MI",Promani Weddings LLC,Editorial,"$1,600 ",(989) 270-0397,https://promaniweddings.com/,4
"Navarre, FL",Jacob Malone Photography,Classic,"$1,000 ",(214) 802-3931,http://www.jacobmalonephotography.com/,4
"Orlando, FL",Angela Mallett Photography,Classic,"$2,600 ",Ammmphoto@gmail.com,http://angelamallett.com/,4
"Pittsburgh, PA",Anchor Studios Photography,Fine Art,"$2,500 ",(305) 345-7306,https://theanchorstudio.photography/,4
"Tampa, FL",Omaria McCrae Photography,Fine Art,"$3,500 ",(813) 484-9796,http://www.omariamccrae.com/,4
"Knoxville, TN",Have Some Patience Photography,Classic,"$2,000 ",PATTY@HAVESOMEPPATIENCEPHOTOGRAPHY.COM,https://havesomepatiencephotography.com/,4
