Location,VenueName,GuestCapacity,ServiceType,FacilityType,StartingPrice,Contact,Webpage,Review
"Belmont, NC",Majestic Mill Weddings,200,All-inclusive,Indoor,"$6,500 ",(980) 989-0553,http://www.majesticmillweddings.com/,5
"Charlotte, NC",Sugar Creek Brewery,150,Limited services,Indoor,$400 ,(704) 521-3333,http://www.sugarcreekbrewing.com/,4
"Charlotte, NC",The Daily,200,Limited services,Indoor & outdoor,"$3,000 ",(980) 420-3737,http://www.thedailyclt.com/,4
"Charlotte, NC",The Dunhill Hotel,60,Limited services,Indoor,"$1,000 ",(704) 332-4141,https://www.dunhillhotel.com/,4.5
"Charlotte, NC",UNC Charlotte Marriott Hotel & Conference Center,540,All-inclusive,Indoor & outdoor,"$8,000 ",(704) 978-8000,https://www.marriott.com/en-us/hotels/cltmu-unc-charlotte-marriott-hotel-and-conference-center/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0 ,4.3
"Charlotte, NC","The Ritz-Carlton, Charlotte",300,Limited services,Indoor,"$10,000 ",(704) 547-2244,https://www.ritzcarlton.com/en/hotels/cltrz-the-ritz-carlton-charlotte/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,4.6
"Charlotte, NC",Napa On Providence,40,All-inclusive,Indoor & outdoor,$500 ,(704) 900-8535,http://www.eatatnapa.com/,5
"Charlotte, NC",220 North Tryon at Foundation For The Carolinas,150,Limited services,Indoor & outdoor,"$8,000 ",(704) 973-4500,https://www.fftc.org/meeting_and_event_space,3
"Charlotte, NC",DoubleTree by Hilton Charlotte City Center,130,All-inclusive,Indoor & outdoor,NA,(704) 335-5400,https://www.hilton.com/en/hotels/cltctdt-doubletree-charlotte-city-center/?SEO_id=GMB-AMER-DT-CLTCTDT&y_source=1_OTM5MDA5MTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,5
"Charlotte, NC",Big Chill,300,Limited services,Indoor,NA,(704) 347-4447,http://www.thebigchillcharlotte.com/,5
