Location,VenueName,GuestCapacity,ServiceType,FacilityType,StartingPrice,Contact,Webpage,Review
"Belmont, NC",Majestic Mill Weddings,200,All-inclusive,Indoor,"$6,500 ",(980) 989-0553,http://www.majesticmillweddings.com/,5
"Charlotte, NC",Sugar Creek Brewery,150,Limited services,Indoor,$400 ,(704) 521-3333,http://www.sugarcreekbrewing.com/,4
"Charlotte, NC",The Daily,200,Limited services,Indoor & outdoor,"$3,000 ",(980) 420-3737,http://www.thedailyclt.com/,4
"Charlotte, NC",The Dunhill Hotel,60,Limited services,Indoor,"$1,000 ",(704) 332-4141,https://www.dunhillhotel.com/,4.5
"Charlotte, NC",UNC Charlotte Marriott Hotel & Conference Center,540,All-inclusive,Indoor & outdoor,"$8,000 ",(704) 978-8000,https://www.marriott.com/en-us/hotels/cltmu-unc-charlotte-marriott-hotel-and-conference-center/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0 ,4.3
"Charlotte, NC","The Ritz-Carlton, Charlotte",300,Limited services,Indoor,"$10,000 ",(704) 547-2244,https://www.ritzcarlton.com/en/hotels/cltrz-the-ritz-carlton-charlotte/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,4.6
"Charlotte, NC",Napa On Providence,40,All-inclusive,Indoor & outdoor,$500 ,(704) 900-8535,http://www.eatatnapa.com/,5
"Charlotte, NC",220 North Tryon at Foundation For The Carolinas,150,Limited services,Indoor & outdoor,"$8,000 ",(704) 973-4500,https://www.fftc.org/meeting_and_event_space,5
"Charlotte, NC",DoubleTree by Hilton Charlotte City Center,130,All-inclusive,Indoor & outdoor,NA,(704) 335-5400,https://www.hilton.com/en/hotels/cltctdt-doubletree-charlotte-city-center/?SEO_id=GMB-AMER-DT-CLTCTDT&y_source=1_OTM5MDA5MTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,5
"Charlotte, NC",Big Chill,300,Limited services,Indoor,NA,(704) 347-4447,http://www.thebigchillcharlotte.com/,5
"Charlotte, NC",Courtyard Charlotte Ballantyne,2,Limited services,Indoor,NA,(704) 341-0041,https://www.marriott.com/en-us/hotels/cltbl-courtyard-charlotte-ballantyne/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,5
"Charlotte, NC",Free Range Brewing,300,Limited services,Indoor & outdoor,$200 ,(980) 201-9096,http://www.freerangebrewing.com/,5
"Charlotte, NC",Project 658 Catering & Events,300,Limited services,Indoor,"$1,500 ",(704) 733-9934,http://www.658events.com/,5
"Charlotte, NC",204 North Kitchen & Cocktails,50,Limited services,Indoor,"$2,000 ",(704) 333-3747,http://204north.com/,5
"Charlotte, NC",Aloft Charlotte Ballantyne,35,Limited services,Indoor & outdoor,NA,(704) 247-2222,https://www.marriott.com/en-us/hotels/cltal-aloft-charlotte-ballantyne/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,5
"Charlotte, NC",Hilton Charlotte University Place,450,All-inclusive,Indoor & outdoor,"$5,000 ",(704) 547-7444,https://www.hilton.com/en/hotels/clthuhf-hilton-charlotte-university-place/?SEO_id=GMB-AMER-HH-CLTHUHF&y_source=1_MTIyMDk2Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,5
"Huntersville, NC",The Rafters at Historic St. Mark's,200,Limited services,Indoor & outdoor,"$5,500 ",(704) 609-2308,http://theraftersevents.com/,5
"Huntersville, NC",Rural Hill,120,Raw space,,"$2,652 ",(704) 875-3113,https://ruralhill.net/,5
"Lincolnton, NC",Lincoln Country Club,140,All-inclusive,Indoor & outdoor,NA,(704) 735-1382,http://www.lincolncountryclub.net/,4
"Concord, NC",USVI Wine Company,130,Limited services,Indoor,"$2,500 ",(980) 229-3454,http://www.usviwineco.com/,4.5
"Mount Pleasant, NC",Carolina Country Weddings And Events,140,Limited services,Indoor & outdoor,"$5,300 ",(980) 349-5933,https://www.carolinacountryweddings.com/,4.5
"Marshville, NC",The Legacy at Gregory Downs,220,Limited services,Outdoor,"$2,000 ",(704) 457-7731,http://legacyatgregorydowns.com/,4.5
"Catawba, SC",Roddey Ranch,30,All-inclusive,Outdoor,"$3,000 ",(541) 905-5829,https://roddyranchevents.com/,4.5
"Lancaster, SC",Catawba Falls Events,170,Limited services,Indoor & outdoor,"$7,200 ",(803) 804-5999,http://www.catawbafallsevents.com/,4.5
"Belmont, NC",Camelot Meadows,225,Limited services,Indoor & outdoor,"$5,500 ",(704) 277-6275,https://www.camelotmeadowsevent.com/,4.5
"Denver, NC",DuGaren Venues & Vineyards,225,Limited services,Indoor & outdoor,"$3,000 ",(704) 530-9971,https://dugaren.com/,4.5
"Rock Hill, SC",The Historic Robertson Homestead,150,Limited services,Indoor & outdoor,"$3,500 ",(803) 500-5089,http://robertsonhomestead.com/,4.5
"Lincolnton, NC",The Laboratory Mill,450,Limited services,Indoor & outdoor,"$3,400 ",(704) 240-4718,http://www.thelaboratorymill.com/,5
"Statesville, NC",Green Gables Farm,220,Limited services,Outdoor,"$4,250 ",(704) 492-7817,https://www.greengablesfarms.com/,4.9
"Gastonia, NC",Grace Wedding & Event Venue- Gastonia,150,All-inclusive,Indoor,"$7,000 ",(704) 761-8111,https://www.eventsatgrace.com/,4.8
"Gastonia, NC",Homesteads Events,300,All-inclusive,Indoor,"$4,500 ",(704) 867-6977,http://www.homesteadsevents.com/,4.8
"Mt Pleasant, NC","Sixty Acres, A Gathering Place",250,Limited services,Indoor & outdoor,"$3,500 ",(704) 201-6365,http://sixtyacresfarm.com/,4.8
"Indian Trail, NC",Bella Terra Inc.,150,Limited services,Indoor & outdoor,"$3,000 ",(704) 221-5176,http://bellaterrainc.com/,4.8
"Midland, NC",The Oaks Events,200,All-inclusive,Indoor & outdoor,"$6,200 ",(980) 521-4724,https://theoaksevents.com/,4.8
"Statesville, NC",The Crawford Farm,200,All-inclusive,Indoor & outdoor,"$7,500 ",(704) 902-6922,https://thecrawfordfarm.com/,4.8
"Statesville, NC",Grace Wedding & Event Venue- Statesville,300,Limited services,Indoor,NA,(704) 741-6330,http://www.eventsatgrace.com/,4.8
"Statesville, NC",Chickadee Hill Farms,162,Limited services,Indoor & outdoor,"$5,000 ",(704) 880-0478,http://www.chickadeehillfarms.com/,4.8
"Wadesboro, NC",FlakeHaven Wedding and Events Venue,250,Limited services,Indoor & outdoor,"$6,000 ",(704) 985-8304,http://flakehaven.com/,4.8
"Waxhaw, NC",Cedar Creek Ranch Weddings & Events,200,Limited services,Outdoor,NA,(704) 312-2940,http://www.cedarcreekranchnc.com/,3
"Marston, NC","Fox Road Farm, LLC",110,Limited services,Indoor & outdoor,"$1,800 ",(910) 873-8060,https://www.facebook.com/Foxrdfarm,3.2
"Jefferson, SC",Belle's Venue and Farms,200,Raw space,Indoor & outdoor,"$4,600 ",bellesvenuefarms@gmail.com,https://www.bellesvenuefarms.com/,4
"Cleveland, NC",The Lumen House,250,Limited services,Indoor & outdoor,"$6,000 ",(704) 255-5207,https://www.thelumenhouseevents.com/,4
"Concord, NC",Cabarrus Arena & Events Center,1000,Limited services,Indoor,"$6,000 ",(704) 920-3976,http://www.cabarrusarena.com/,5
"Gastonia, NC",Courtyard Charlotte Gastonia,112,Limited services,Indoor & outdoor,$700 ,(704) 852-4411,https://www.marriott.com/en-us/hotels/cltcg-courtyard-charlotte-gastonia/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,5
"Kannapolis, NC",Century Gardens Events,100,Limited services,Outdoor,"$1,300 ",(980) 999-0072,https://www.facebook.com/CenturyGardenEvents/,5
"Belmont, NC",Nellie's Southern Kitchen-Belmont,210,Limited services,Indoor & outdoor,NA,(704) 396-7169,http://www.nelliessouthernkitchen.com/,5
"Wadesboro, NC",Westwood Lodge,200,Raw space,Indoor & outdoor,"$5,000 ",(704) 498-4837,http://www.westwoodlodge.com/,5
"Kannapolis, NC",Swanee Theatre,300,Limited services,Indoor,"$7,000 ",(704) 935-0149,http://theswaneetheatre.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=12561510314683312111,5
"Cleveland, NC",Vista At Walnut Hill,250,Limited services,Indoor & outdoor,"$4,800 ",(704) 326-1029,http://eventsatwalnuthill.com/,5
"Rock Hill, SC",Pump House Restaurant,,,,$250 ,(803) 329-8888,https://rockhillpumphouse.com/,5
"Ellerbe, NC",Grant Gables Venue,300,Limited services,Indoor & outdoor,NA,(910) 331-1926,https://www.facebook.com/people/Grant-Gables-Venue/61552488823594/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,5
"McConnells, SC",MeadowView Events,225,Limited services,Indoor & outdoor,NA,(704) 775-8399,http://meadowviewevents.com/,5
"Mount Holly, NC",Homesteads Events at Muddy River Distillery,150,All-inclusive,Indoor & outdoor,"$4,000 ",(704) 860-8389,http://www.muddyriverdistillery.com/,5
"Gastonia, NC",Ruth's Garden,60,Raw space,Outdoor,$300 ,980-777-7279,https://ruthsgarden.org/,5
"Cleveland, NC",Fields at Skycrest,300,Limited services,Indoor & outdoor,NA,(704) 621-0832,http://www.fieldsatskycrest.com/,5
"Charlotte, NC",Venues at Station West,300,Limited services,Indoor & outdoor,"$9,000 ",(980) 272-1770,https://stationwestunion.com/,5
"Charlotte, NC",Nascar Hall Of Fame,450,Limited services,Indoor & outdoor,NA,(704) 654-4400,http://www.nascarhall.com/,5
"Charlotte, NC",South Charlotte Banquet Center,150,Limited services,Indoor & outdoor,"$3,000 ",(704) 341-3312,http://www.southcharlottebanquetcenter.com/,5
"Charlotte, NC",Olde Sycamore Golf,120,Limited services,,"$5,000 ",(704) 573-1000,https://www.oldesycamoregolf.com/,5
"Charlotte, NC",Red Fez Shrine Club,150,Limited services,Indoor & outdoor,$750 ,(980) 875-1257,http://www.redfezshrineclub.com/,4.5
"Charlotte, NC",The Atrium @SMS Catering,500,All-inclusive,Indoor & outdoor,"$1,700 ",(704) 504-7344,https://cateringcharlotte.com/,4.5
"Charlotte, NC",Belk Chapel at Queen's University of Charlotte,500,Limited services,Indoor & outdoor,"$1,500 ",(704) 971-5675,https://calendar.queens.edu/belk-chapel,4.5
"Charlotte, NC",RSVP South End,1000,Limited services,Indoor & outdoor,"$1,000 ",(704) 837-2536,https://rsvpsouthend.com/,4.5
"Charlotte, NC",Crystal Ballroom Charlotte,200,All-inclusive,Indoor & outdoor,"$12,500 ",(980) 505-5353,http://www.crystalballroomcharlotte.com/,4.5
"Charlotte, NC",Founders Hall,650,All-inclusive,Indoor,"$18,000 ",(704) 333-9779,https://www.foundershallevents.com/,4.5
"Charlotte, NC",Petty Thieves Brewing Co.,150,Limited services,Indoor & outdoor,"$3,500 ",(704) 266-0036,http://pettythievesbrewing.com/,4.5
"Charlotte, NC",Ballantyne Country Club,180,Limited services,Indoor & outdoor,"$20,000 ",(704) 544-1404,http://www.ballantyneclub.com/,4.5
"Charlotte, NC",Kimpton Tryon Park Hotel,200,Limited services,Indoor,"$7,500 ",(704) 445-2626,https://www.tryonparkhotel.com/,4.5
"Charlotte, NC",RiRa Irish Pub,100,Limited services,Indoor & outdoor,"$1,000 ",(704) 333-5554,https://rira.com/charlotte/,4.5
"Charlotte, NC",DoubleTree Suites by Hilton Charlotte SouthPark,180,All-inclusive,Indoor & outdoor,"$3,000 ",(704) 364-2400,https://www.hilton.com/en/hotels/cltdtdt-doubletree-suites-charlotte-southpark/?SEO_id=GMB-AMER-DT-CLTDTDT&y_source=1_MTM3Mjc1NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.9
"Charlotte, NC",Venue At 1801 Charlotte NC,250,All-inclusive,Indoor & outdoor,$500 ,(704) 492-0069,http://www.qcinfobroker.com/,4.2
