Location,PlannerName,NumServices,StartingPrice,Contact,Webpage,Review
"Charlotte, NC",Tier & Co.,4,"$2,000 ",(803) 804-3694,http://www.tierandco.co/,5
"Charlotte, NC",Studio AH,3,"$2,200 ",thestudioah@gmail.com,https://www.studioahevents.com/,4
"Charlotte, NC",Events By Evelyn,3,"$60,000 ",(704) 951-5408,http://www.eventbyevelyn.com/,3.5
"Charlotte, NC",Purposely Designed Event Planning,7,"$2,999 ",(704) 296-3416,http://www.pdeventplanning.com/,4.9
"Charlotte, NC",Details Wedding Planning,5,"$2,500 ",(540) 908-0374,http://www.detailsweddingplanning.com/,5
"Charlotte, NC",Imagine This Curated Events,7,"$1,950 ",(704) 881-1703,https://www.imaginethisevents.com/,5
"Charlotte, NC",Olivia Lauren Events,5,"$1,100 ",hello@olivialaurenwed.com,http://olivialaurenevents.com/,3
"Charlotte, NC",Jewel of Ruby Events,6,"$1,000 ",(704) 255-4119,http://www.jewelofrubyevents.com/,5
"Charlotte, NC",Jenkins & Co. Weddings,3,"$8,500 ",(704) 281-1589,http://jenkinsandcoweddings.com/,5
"Charlotte, NC",Pamela Plans & Company,6,NA,980-349-5750,https://www.pamelaplans.com/,5
